
C7,rājasaudham,dhīmatā,vidyopadiśyate,rājayogam,ajānataḥ,kṛpāparaḥ,svātmārāmo,śrīādinātha,śāradā,siddha,pādaś ca,pauraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carpaṭī,pūjya,bilvanātho,kākacaṇḍīśvarādayaḥ,,vālakir,prabhāvataḥ,saṃsāra,tāpa,śamāśraya,maṭho haṭhaḥ,jagatām,ādhāra,kamaṭho,haṭhaḥ,,piṭhiraṃ,yataṃ,liptavimalaṃ,niḥśeṣa,jantūjjhitam,vedikūparacitaṃ,evaṃ sadābhyaset,ṣaḍbhir yogo,vinaśyati,sāhasād dhairyāt,jñānād viniścayāt,yogaḥ prasidhyati,kuryāt tad āsanaṃ,tasmād,pāṭavaṃ,vakṣyante,pādatale ubhe,pracakṣate,tu,gomukhaṃ yathā
C8,rājasaudham,yoginā,vidyopadiśyate,rājayogam,ajānatām,kṛpākaraḥ,svātmārāmo,śrīādinātha,śābarā,śuddha,buddhiś ca,pauraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carppaṭī,pūjya,bilvanātho,kākacaṇḍīśvarāhvayaḥ,ṭiṇṭiṇī,bhālukī,prabhāvataḥ,aśeṣa,tāpa,samāśraya,maṭho haṭhaḥ,yuktānām,ādhāra,kamaṭho,haṭhaḥ,,viṭapaṃ,yataṃ,liptamamalaṃ,niḥśeṣa,vātojjhitaṃ,vedikūparacanaṃ,eva sadābhyaset,ṣaḍbhir yogo,vinaśyati,sāhasād dhairyāt,jñānāc ca niścayāt,yogaḥ prasidhyati,tat kuryād āsana,sthairyam,lāghavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,gomukhākṛti
J1,rājayogam,dhīmatā,vidyopadiśyate,rājayogam,ajānatam,kṛpākaraḥ,ātmārāmo,śrīādinātha,śābarā,siddhi,buddhiś ca,pauraṇṭakaḥ,surānandaḥ,siddhi,pādaś ca,,carpaṭi,pūjya,nityanātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇiḥ,bhālukā,prabhāvataḥ,saṃsāra,tapi,samāśraya,maho haṭhaḥ,jagatām,ādhāra,kamaṭho,haṭhaḥ,,viṭapaṃ,yitaṃ,,,,,evaṃ sadābhyaset,ṣaḍbhir yogo,vinaśyati,sāhasād vairyāt,jñānādiniścayāt,yogaḥ prasidhyati,tatkuryād āsanaṃ,sthairyam,pāṭavaṃ,kathyante,pādatale ubhe,pravakṣyate,tu,gomukhaṃ yathā
J10,rājayogam,yoginā,yogoyadiśyate,rājayogam,ajānatām,kṣamākaraḥ,svātmārāmo,śrīādinātha,śābarā,śuddha,buddhaś ca,pauraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carpaṭiḥ,pūrva,dhvaninātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇī,bhālukī,prabhāvataḥ,saṃsāra,śrama,māśrayo yaṃ,haṭho mataḥ,jagatām,ādhārā,kamaṭho,haṭhaḥ,,,yitaṃ,liptamamalaṃ,nirdoṣa,bādhojjhitam,vedikoparacitaṃ,evaṃ samabhyaset,ṣaḍbhir yogaḥ,vinaśyati,niścayādvairyāt,jñānāc ca darśanāt,yogas tu sidhyati,kuryāt tad āsanaṃ,tasmād,pāṭavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,gomukhaṃ yathā
J10ac,rājayogam,yoginā,yogoyadiśyate,rājayogam,ajānatām,kṣamākaraḥ,svātmārāmo,śrīādinātha,śābarā,śuddha,buddhaś ca,pauraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carpaṭiḥ,pūrva,dhvaninātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇī,bhālukī,prabhāvataḥ,saṃsāra,śrama,māśrayo yaṃ,haṭho mataḥ,jagatām,ādhārā,kamaṭho,haṭhaḥ,,viṭapaṃ,yitaṃ,liptamamalaṃ,nirdoṣa,bādhojjhitam,vedikoparacitaṃ,evaṃ samabhyaset,ṣaḍbhir yogaḥ,ca naśyati,niścayādvairyāt,jñānāc ca darśanāt,yogas tu sidhyati,kuryāt tad āsanaṃ,tasmād,pāṭavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,gomukhaṃ yathā
J10pc,rājayogam,yoginā,yogoyadiśyate,rājayogam,ajānatām,kṣamākaraḥ,svātmārāmo,śrīādinātha,śābarā,śuddha,buddhaś ca,pauraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carpaṭiḥ,pūrva,dhvaninātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇī,bhālukī,prabhāvataḥ,saṃsāra,śrama,māśrayo yaṃ,haṭho mataḥ,jagatām,ādhārā,kamaṭho,haṭhaḥ,,viṭharaṃ,yitaṃ,liptamamalaṃ,nirdoṣa,bādhojjhitam,vedikoparacitaṃ,evaṃ samabhyaset,ṣaḍbhir yogaḥ,vinaśyati,niścayādvairyāt,jñānāc ca darśanāt,yogas tu sidhyati,kuryāt tad āsanaṃ,tasmād,pāṭavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,gomukhaṃ yathā
J11,rājasaudham,yoginā,vidyopadiśyate,rājayogam,ajānatām,kṛpākaraḥ,svātmārāmo,śrīādinātha,sāgarā,siddha,buddhiś ca,kauraṇṭakaḥ,surānandaḥ,śrī,pādaś ca,caiva,carpaṭiḥ,pūjya,nisanātho,kākacaṇḍīśvarādayaḥ,ciṃciniḥ,vāsukir,prabhāvataḥ,saṃsāra,tāpa,samāśraya,maṭho haṭhaḥ,yuktānām,ādhāra,kamaho,haṭhaḥ,,piṭakaṃ,yataṃ,liptavimalaṃ,niḥśeṣa,bādhojjhitam,vedikūparuciraṃ,eva sadābhyaset,ṣaḍbhir yogo,vinaśyati,niścayād dhairyāt,jñānād viniścayāt,yogaḥ prasidhyati,tat kuryād āsane,sthairyam,pāṭavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,gomukhākṛtiḥ
J12,rājasaudham,yoginā,yogaḥ pradṛśyate,rājayogam,ajānatām,kṣamākaraḥ,svātmārāmo,śrīādinātha,śāmbarā,siddha,budhaś ca,pauraṇḍakaḥ,surānandaḥ,siddha,pādaś ca,,cirpaṭi,pūrva,nityanātho,kākacaṇḍīśvarādayaḥ,tittiṇiḥ,bhālukī,prabhāvataḥ,saṃsāra,śrama,āśrayo yaṃ,haṭho mataḥ,siddhānām,ādhāra,ka haṭho,maṭhaḥ,,viṭapaṃ,rpitaṃ,liptamamalaṃ,niḥśeṣa,vātojjhitaṃ,vedikasaracitaṃ,evaṃ sadābhyaset,ṣaḍbhir yogo,vinaśyati,niścayād dhairyā,jñānāc ca sāhasāt,yogas tu sidhyati,tatkuryād āsanaṃ,sthairyam,pāṭavaṃ,kathyante,pādatale ubhe,pracakṣyate,'pi,gormukhaṃ tathā
J13,rājayogam,yoginā,yogopadiśyate,rājayogam,ajānatām,kṛpākaraḥ,svātmārāmo,śrīādinātha,śābarā,śuddha,buddhaś ca,pauraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carppaṭiḥ,pūjya,dhvaninātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇī,bhālukīr,prabhāvataḥ,saṃsāra,tāpa,āśrayo yaṃ,haṭho mataḥ,jagatām,ādhāra,kamaṭho,haṭhaḥ,,piṭharaṃ,yitaṃ,liptavimalaṃ,niśeṣa,jantūjjhitam,vedikūparacitaṃ,evaṃ sadābhyaset,ṣaḍbhir yogo,vinaśyati,niścayād dhairyāt,jñānāc ca niścayāt,yogaś ca sidhyati,kuryāt tad āsanaṃ,tasmād,pāṭavaṃ,kathyante,pādatalāv ubhau,pracakṣate,'pi,gomukhākṛti
J14,rājasaudham,yoginā,yogopadiśyate,rājayogam,ajānatām,kṛpākaraḥ,svātmārāmo,śrīādinātha,śāṃvarā,siddhi,buddhaś ca,kauraṇḍakaḥ,surānandaḥ,siddha,pādaś ca,,carppaṭiḥ,pūjya,nityanātho,kākacaṇḍīśvarādayaḥ,ciṃcaṇī,bhālukī,prabhāvataḥ,saṃsāra,tāpa,samāśraya,maṭho haṭhaḥ,jagatām,ādhāraḥ,kamaṭho,yathā,,viṭapaṃ,yutaṃ,liptavimalaṃ,niḥśeṣa,bodhodgataṃ,vedikūparuciraṃ,eva sadābhyaset,ṣaḍbhir yogo,vinaśyati,niścayād dhairyāt,jñānārthadarśanāt,yogaḥ prasidhyati,tatkuryād āsanaṃ,sthairyam,lāghavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,gomukhaṃ yathā
